text,sentiment
Just a reminder to Hydra clients to check your email for important account updates!,neutral
Finallyy done !! And done clean`n lay`n down time 4 bed.. goshh its 3 o`clock !! Lol nite nite twitta heads,positive
is so sick of myself + my life  i`m never going to be as good i want + need to be. xoxoxo </3,negative
 I don`t like the possibility of the left side of my brain hurting because of the thing called a VP shunt and possible death,negative
it`s official- the Twilight Saga has ended...*sigh*...my life is empty!,negative
"Not feeling very good at all, why does this have to happen today of all days? Not going to friends tonight",negative
 Oh no! I totally forgot he played today.,negative
good morning! off to the gym I go,positive
Ugh I can`t breathe right today,negative
 YAY!!  I was supposed to be there next weekend. But its off now.   But I`ma make it out there...I <3 Philly.,positive
I am soo happy! But frustrated at the same time!  :]  :S. Ohh noo!!! Britney is recording her new video for Radar!!!  Sooo ExxCiiTeed!!!,positive
you wanna know what`s worse... my coworker just brewed a fresh cup of coffee and all I can think about is bacon,negative
" Oh how cool!!!, ok so for your head just laydown and put ice on it, that should heep the swelling down, I feel really bad",negative
chris sab and i = COMME ESTAS ****,neutral
" After many attempts, I can`t figure out how put a pic in the avatar. Tells me pic is too big. Frustrated trying.......sorry",negative
" yeah, I much prefer tweetdeck but if you must have multiple accounts",neutral
I just dyededed my hair,negative
 I`m stuck with BOO!!!! Jeeeez shoot me now,negative
 I use NewsFire. Works like a charm,positive
I just had to look up endometriosis. Oy!,negative
'I`m giving up on you. I don`t care how you mess up your life now.'... :`(,negative
  shareeee.,neutral
Needs a yummy breakfast after her shift,positive
Happy Mothers day to all the grown n happy & the lil prego smuts lol Just Playing everyone is loved.. happy Mothers Day & God Bless,positive
loves it when mom and dad come to visit! nothin better,positive
 http://twitpic.com/4w06l - LOVE IT! U have a great job!!,positive
"Dad just said that our trip to UK is cancelled, due to da swine flu. Ooops! Sorry abang.",negative
  i want alexis bledel back on screen every thursday night,neutral
"How did I give birth to a SCREAMER?? I hate screaming children!! I guess I hate screaming children besides my own, now.",negative
" what on earth happened to wentworth`s page?!? i`m devastated, as i`m sure ALL of his fans are!",negative
"#3wordsaftersex  Ow, rug burns",negative
 places to find you if you`re not home- marilyn and seria beach,neutral
I just got a wiff of pazik fart!,neutral
"Not feeling too good at ALL, about to head to work from 12-5.  Not a bad shift, just not fun when you don`t feel well! Hope it goes FAST",negative
" Hahaha! Is he snoring, too?",neutral
: wait till the vacation ends! u shud be cycling a lot then!,positive
Time to do house chores! Ugh!,negative
" come home, then. Not so boring here.",positive
" no your not  they are very cute, how you going being a daddy?",positive
1 John is an amazing book. Just what I needed to brighten my mood.,positive
I can`t sleep...I keep thinking about the puppy I played with today,negative
 nvm i just got ur message that ur sick,negative
is Happy Mothers Day.   Taking Mum out for dinner to one of my favourite restaurants down Glenelg now,positive
notthebest weekend....but oh well....I have a right to be sad,negative
sitting at home...need to be pricing the garage sale items...but i have no help so its boring by myself,negative
 Thanks. End up going to Makino Chaya,positive
 i love you <3  host me lmao,positive
 apparently!  Haven`t tried the site tho. Maybe will get better results.,neutral
noooo!   all summer?! I won`t see your charming little face ALL summer?!,negative
 You know what?  That cowboy hat in your pic made me smile today (you don`t see many of those in Japan),positive
I`m super hungry! Waiting for my biotch to feed me.,positive
Seeing `Love at the Club` actually made me,positive
"Wait - No Wind in Hair - that would be I-L-L-E-G-A-L!!  I would Never break the law!! No, never.",positive
" You`re not the only one surprised that FreeTDS and UTF-8 don`t 'just work'. But you`ll get it right, eventually.",negative
what a wonderful day...i am going to sleep so well tonight,positive
 Morning Sunshine,positive
 yes... nice. I missed a lot of fun. **** exams. you are looking good...hair,positive
 hopefully I`ll get to see HTB next week and LA really soon!! Can`t wait!!!,positive
really wants to go see AI tonight.,positive
feels strong contractions but wants to go out.  http://plurk.com/p/wxidk,neutral
 will have to pare down his collection of portraits of  and bangbang,neutral
this is how we do itttt,neutral
"my to do list is bananas, before i leave for Europe BOOOO",neutral
" Well thats even worse cuz when it gets hurt everyone is in pain, but poor Stephen has a smushed twitter now!",negative
 Sweeny Todd is deadset one of the best movies of all time,positive
Finally managed to catch her boyfriend on skype... sooo happy now,positive
" Oh, I don`t really have much of an opinion on her either way. It`s just a night to rip everything.",negative
" i got 2 much 2 do 2nite 2b bored. In bath still hav wash, dry, straight hair, get clothes ready etc",negative
I am not doing much  all well!,negative
 i tried listenin to music 4 half an hour! Tried readin a really boring book-still wide awake!,negative
 I know anne and judy,neutral
those workmen extending R block can`t start this early surely.. its 7:45am and already they`re making a racket and woken me up!,negative
_lpz yeah text me!!! i wnat to go!!!!! but my car is broken!!,negative
"Waiting for Danny to text me back,,,  xoxo",positive
Had fun 2nite...i was pleasantly surprised,positive
My teratoma has a cavity and is experiencing male-pattern baldness,negative
LUCY IS HATING ON MY GWEG!,negative
  Oh what`s up?,neutral
"OK, when will this post RNY girl learn; rich sugary food is a BAD idea! No more golden graham bars out of the vending machine. Bleck!",negative
just found out that my husband`s grandma fell down the stairs & is at the hospital with several broken bones...praying hard!,negative
Quick thoughts. Tired. Happy. Satisfied. Entertained. Excited. Oh... and a bit in love,positive
I`m way to hungry to even think. I can`t go to work on an empty stomach like this,negative
" Unless you mean the 2 hours a week i use for sleeping. Yeah, suppose i could use those",neutral
 im eating sliders at barjohnnys! (theyre pork tho not beef  still on the search...),positive
_Henrie how are you?what are you doing?answer me plz,neutral
 why am I weird?,negative
Arrogant **** on tap in Oregon. WHAT!!!!!!,negative
 This is not my day,negative
http://pic.gd/fad84c One Sunday night at Helsinki. We hadn`t drink anything... xD yeah RIGHT!,positive
morning im up and ready weeee its a sunday,positive
 I was gonna text u and ask what puff meant!!,neutral
"Friends are gone. Sushi, movies, laughter. Just what I needed. FUN!",positive
 yeah! but too late hun  lol,neutral
"Woe, it`s definitely NO fun to travel first class with a bike. You have to fight your way through 7 coaches `til you reach your seat",negative
"I`m seeing quite a few proto-furries here, now that I think of it.  #acen",neutral
 Boring? What?! Ugh!!!  come back to of then!,negative
 Haha I like that. You`re actually saying thanks to the bots! Never looked at it like that.,positive
  that`s bad as it affects all the languages that run on the JVM. Too bad!,negative
" Their inability to manage money, tough job market, and they`re getting behind on bills. This is why no savings is bad",negative
off for a run. moon-day is not that bad after all...  #fb,positive
" very much so  You know I am coming now on Thursday too right, are there door sales ??",neutral
" Yep, exactly   And I`m really sad about this tour...I know I`m gonna cry at my last M&G....",negative
there`s only one more cherry dr. pepper left in the fridge...thank God. im addicted to that stuff but it does sad things to my skin.,negative
_lawrence did you forget something this morning? you nearly ran me over at the bottom of the hill!  its very very warm in the shop! x,negative
Hey #rda2009cla presentation was too large to post!  sorry   (From rules to entities: cataloguing with RDA live > http://ustre.am/2j3l),negative
 safer to say that your cube is now a sphere ... but roll with it buddy ... it is an awesome time ... esp the 1st one,positive
"_Rankin And until soy beans have TEETS, soy 'milk' *is not milk*.",negative
"So disapointed,good Evans,  they sound really bad, so out of tune  #britainsgottalent",negative
on my way to driver`s training,neutral
I`m Having a Baby Girl! (In the next 17 Days!) I think I`m gonna keep this handy  http://budurl.com/f9p5 Funny Stuff!,positive
kellie: Its a major problem okay. alex: what is? Kellie: hahahahahahahaa your face,negative
I left my ipod in the car so now its all warm.,positive
Workin.,neutral
"Season 1 of Lie To Me was serious. ****, now here comes the wait.",negative
 I know   Guess I was hoping they`d revitalize the plot lines as well instead of reverting to old cliches!,neutral
" this is funny, we just discussed Bela Lugosi  over dinner, his apearance in Plan B from outer space 'best' movie ever",positive
mmmmmm mcdonalds coffee is soooooo good.....maybe going to hookah tonight with the abbster,positive
 I SLEPT THROUGH MY ALARMS  woke up at 6 instead of 4  i feel like a complete tool,negative
 - great site.  The photos on it are fantastic.  Will be very useful for my visit to Pembroke (inc Skomer) in June,positive
" my hubby`s a vet, so we `get` that animals are like children!! all the best! hope ur biz is going well",positive
 Next time,neutral
_aka_Rowan he could be talking to me  (he`s probably not though ;) ),neutral
  The 'holy cow' is what did this to me.,negative
" You lucky girl! I also wanna see them (again LOL) I wish they`d come to europe again, but I doubt that",positive
Right now on my Justin.tv channel: 10 weeks until my gf has a newborn  www.justin.tv/kubbur?20,neutral
 poor grace!!! You need to date a cute male nurse.,negative
happiest girl in the world.  best weekend ever and I can`t wait for next weekend either!!!  so grateful for all my blessings!,positive
wave would trend higher that bing,neutral
": What, you`re not really an alcoholic? I AM V. DISAPPOINTED! D: Seriously, though, I got that you were kidding.",negative
watching because i said so! happy mothers day!,positive
1st day of work today was a bit tiring but ok lol now onto college work,negative
" Wow, you mom has a lot of energy. I`m getting tired just reading your tweet and ur living it.",positive
argggggg car crash tv its just sooooooooo horrible to see her like that  #bgt,negative
   good point!! Mine is on its way. How did he get delivered?  I will post pics too wen I get him,positive
Trader Joe`s 'sushi' is a fail.,negative
 Their coming tomorrow morning and it`s sort of an impossible task. I just need to clear some space. Thanks though,neutral
 That`s one of the reasons we thought 'Should we have a kid?'  'Nah - let`s get a piano instead.'    You poor buggers,negative
 i KNOW! AHH!  so fun!,positive
 Why I gotta be all that?... I sad now,negative
_OTTAWA have fun!,positive
 it`s because finished the recordings?,neutral
G`night Twitterverse! Thanks for keeping me entertained!!,positive
 make a prank call for me,neutral
really rather drunk  drunk thoughts - how am i getting to work tomorrow?! is loz alive?! does gandhi read comic books?! we will never know,negative
 my sympathies - been here 20 minutes and had enough - will escape soon,neutral
 Howz it going hun??,neutral
I`m sitting around wanting to do something  any ideas?,neutral
" yes! fb, ah i miss you",positive
"and she was all like 'dude. I care about you.' and it made me smile  yea that teaches me not to drive on E, lol",positive
_aguirre Now I wish I was going,neutral
"So, what are you all doing? I`m eating crackers! Yummy. The unsalted ones of course. I only do salt in my caviar.",positive
" I believe that is true, FML is quite the phenomenon...all thx to Superbad",positive
Haven`t used twitter in awhile. BGT!! DRAWING!! SUMMER!! FINALS,neutral
"OMG. I got a explosion of new followers, hello new followers",positive
Been i while since i`ve been on.... bogged under with exams!  Eugh. At least theres only 2 left!! Britains Got Talent!!,negative
i am talkin on da phone and typin at da same time,neutral
all dressed up and no where to go...,negative
Watching 5 children and it.  i really should be studying. I`ll start soon :[,negative
More to thank for #ff shouts     and heaps more. Sry will be here all night i now realise,positive
"Ok, i`ve eaten some food and now bored to death in my room. Seriously, there is nothing to do. Guitar been taken to the venue!",negative
 Psych has to be better than neuro!  Or at least in a better part of town?  I miss you,positive
It`s raining that fine rain!!! U know the fine rain that wets you the most,positive
 sorry missed your post earlier about Edinburgh.  I am biased towards its awesomeness!  Glad you enjoyed your visit,positive
 i dont want you to go to india,negative
Apparently it`s 21 degrees in Kilkenny now! And some comedy would be a great remedy to my boredom! Why the hell did I leave Kilkenny!?,negative
" LOL...oh, man, can I un-twit something? haha! I mean my lean mean fighting machine. I sooo can`t believe you called me out!",negative
  i wlda seen it wit you! dummyhead.,negative
Ok so any ideas of what to do tomorrow to make it fun? Cause i dont know what to do,neutral
I`m going to obu for the night.,neutral
"I have an awesome picture of happy pint, but it`s not sending",positive
 when are u gonna host Saturday night live!! i`ve been waiting for like 2 yearsssssss!!,neutral
 no it doesn`t...sheesh,negative
"_DinaSadik forensic mein kya hai! bas rat te jaao  and micro?havin a micro exam soon,the lab diagnosis of all d individual bacteria!",neutral
_michele but sometimes not having to say nice things all the time is kinda fun  *teehee*and now I`ll put this back on as well *halo*,positive
 I`ll save you,positive
: just got home from drews bday.,neutral
" Cheers John, thanks for following me. Look forward to your twitterings too. Think this`ll be a good place for my rants  ****",positive
I`m so proud of my NAU graduate friend!!! We`re getting ready to celebrate  tonight!!! It`ll be an international ordeal~,positive
I am currently doing a few posts on my business blog http://venturefile.com  check it out if you like it,positive
 you need to follow me so I could send you a direct message.,neutral
 what was said?,neutral
" brazil LOOOOOOOOVES you, i miss you  24th may, the perfect day off",positive
_it_good den fell asleep on me!!!,positive
I tell him today! :S it`s his last day,positive
_roe oh well.  I`ve never seen him do anything before so I`m not gonna say anything.,neutral
"Chillin with the rents, and looking at hilarious old photos. Well funny!",positive
Getting all annoyed cos this weekend`s going to be hot. I`m bloody working,negative
 Yeah ill make sure i keep you updated.. i get it all delivered,neutral
 http://twitpic.com/5h3ad - And Brazil??? WE LOVE YOU TOO!!,positive
_rockett i know! And he laughed at the stupid `women`s right`s` joke. Wth! Glad we have the same humor!,positive
cleaning cleaning cleaning today then working out!  i love not working!,positive
 i guess ill never have it  but the sad thing is that u didn`t put an Alternate e-mail!! cause if u dont remember ur secret,negative
OUCH! my earphones just shocked me,negative
 Well the one thing where you lay on the floor I couldn`t do all of them....I`m very out of shape,negative
" haha, its under 18 :@ so ive got no one to go with  curse none of my friends liking TAI lol",negative
poor baby girl chloe is freaking out because of all of the noise!  She so cute and pitiful hiding under the middle of the table!,negative
  Yeah the spammers are discriminating: none of the females  are part of the target group apparently,negative
 Would you believe that I`m done with homework for the rest of my life?,neutral
There`s just something about a sexy blonde **** rubbing herself in a field  http://worldsbestpornmovies.com/faithmov3.htm,positive
 I love it. Tell me it didn`t match my shirt perfectly. Can you just not move PLEASE? What am I supposed to do without you?,positive
 It is a sad commentary is it not?,negative
 I know exactly what you are saying.. its so not cool... that is why tapes were better  :p,negative
 i miss you too,neutral
"Law and Order! Yeah, I stay home on Sat nite!",neutral
 Seesmic Desktop seems pretty good. Nice find,positive
What an incredibly great day.  hahaha!,positive
  awww thank you,positive
" i did dat 1 time & my boss text me saying, 'tweet me n my office after dis tweeting is ova!' i havent dun it since.",neutral
roughnight,negative
morning!  well excited dancing down the park todayyy! should be good!  wooo c`mon venue!  ****,positive
i love it when justin timberlake hosts snl; hilarious,positive
" if i can buy sleep for you, i will... that`s what you need!",positive
Rainy day is rainy.,neutral
" today 'sonny with a chance' came to brazil, i loved it!! you`re amazing <33 please reply",positive
 I don`t know how you do it,negative
 do I discern a request for Hulu support? excellent idea!,positive
"Finally feels like a nice summer day, and I`m feeling sick",negative
Happy #juddday everyone!,positive
Listening to Yultron!!,positive
: no i`m not going.,negative
" yeah, but Mr. Mom`s I would say, appreciate their wives much more than the avg dad   I have a new found respect for mothers now",positive
chapter 27... probably on monday. i still need more comments.,neutral
 Actually I think the NA release date was confirmed for September so it`s a bit more of a wait.,neutral
 Is you cat clean again?  Hope so ;) ****,positive
i tried calling work 5 times and they wont answer,negative
"When someone edit your designs is called plagiarism right??, but what can you do??, I`m tired, exhausted and dissapointed",negative
Java Concurrency in Practice is probably the best Java book I`ve ever bought. There`s a recipe in there for interrupting blocking IO ops,positive
Wants somebody to cheer her up,positive
"has had a wonderful day with some gorgeous girls, followed by dinner and drinks with the Swedes",positive
"7846 - almost catching  up, so gonna kick her ****, and woop i will b joing the 10k mile high club soon",neutral
 Aww thanks! I am indeed graduating on Friday. Just 4 finals stand between me and freedom...or Teach for America and law school,positive
" I empathise luvvie, I dont personally understand a grown mans need to dress in tartan in search for a little white ball",negative
Just woke from the longest sleep in months-so nice! Now to get some work done so i`m prepped for next wk & free for K coming home tonight,positive
 It was BuckFast. Brain just went blank,neutral
Going to see Angels and Demons tonight. It better not scare me!!,positive
 It will give me lulz from time to time.,positive
 nah will didn`t tell diego so we at some donminican spot getting **** up,neutral
I keep pulling out my knitting at my desk and then putting it back.  Not good!  Not good!    T-minus 15 minutes till release........,negative
"@_iDANCE19 well yes lol ..  i had a chat with them earlier , there just not willing to learn anything else",negative
_carter The video is `private I cant see it,negative
Wow slept in with no dolidh here to wake me up,neutral
  i met him! hes from where i live !!! he goes clubbing the same places lol! i dont get twittter,neutral
Major iPhone problems  Wont let me send texts BUT I can do everything else! Can anyone help,negative
 my music collection will be coming up to 250gb soon.  haha,positive
   me too.  it depresses me thinking about it.,negative
" Yeah, yeah. Less #degenerate than current occupants of U.S. House of Reprehensibles. You can bet on that. Like MineThatBird.",neutral
is sitting in the marshall center w/Mina. Some1 must really not want me to go to the gym..this time i lost my wallet n w/no ID i cant go,negative
thanks for the feedback everyone,positive
 U SO funny but u right! I like BSB but Im not as fan than U I love much better Tupac & TLC..2 bad they`re not singing anymore,positive
" {{{HUGS}}} Okay, just making sure!",positive
Can`t seem to find the new Mountain Dew Throwback in 12 packs....only in 1 liter bottles,negative
Damm servers still down  i need to hit 80 before all the koxpers pass me,negative
decided that wolf in a future Star Trek Logo game would be much cooler than Chewy in Star Wars,positive
Female and Male 3 year old Labs looking for new home  Family is loosing their home. Both must stay together. Contact me if interested.,neutral
"takin short nap, gym and work before kids come back home tonite",neutral
happy mother`s day to all moms and pseudo stepmoms,positive
 Same! And big moths and wasps and just insects in general HAHA I hate them,negative
 that`s great!,positive
sunniest day in ages and im in bed,positive
 **** how you not gonna follow me son?,negative
"Don`t know what to do right now...pretty bored, but I refuse to study. Any suggestions?",negative
 me too... it goes to my phone so all night long sometimes my phone is blowing up... so nice to wake up to!,positive
Pretty sure my kitties missed me...one is laying on me and the other 2 are on each side of me. They are so cute though.,positive
"Boss just texted me, I HAVE THE DAY OFF! YES< YES AND YES AGAIN!",positive
 Oh no! Dead muffins ... how sad,negative
" That`s true. Unfortunately, the leads in the movies don`t die on such a high note. It`s more the Friday The 13th model",negative
_Manford Awww thats such a lovely thing for u to say to me  are u doing any in manchester? x,positive
The jetway feels like the seventh layer of hell. Oh and there are way too many babies on this flight. And I forgot my Bose.,negative
 i havent been out west since 07...i think i picked a bad wknd b/c its overcast out here tho,negative
1st day of master cleanse...wish me luck,positive
 australian hardcore/metalcore scene is amazing right now. look up third strike and chelsea smile. AND BMTH IN 7 DAYS,positive
" I`m stuck in a try-to-merge-two-tools CSS hell, so no help from frameworks  Unless both tools had already used the same framework",negative
"  I think it`s because I`m always offtopic and sometimes inappropriate (germination and 'fruit picking' jokes, etc)",negative
eating truffles  yum!,positive
 will do! I may just have to keep it on my shelf with the rest of my old cameras,positive
 I cried like a baby when we had to put our cat down 2 years ago...  For tears of happiness watch this http://bit.ly/qLwbe,positive
hates not being able to see his monitor. I have about 25 minutes before the sun is not blinding me,negative
is excited to see Samantha&Denise again  http://plurk.com/p/rr5id,positive
My sunburn itches  ouch,negative
" I be ok, you?",positive
 http://twitpic.com/4w483 you guys look so nice,positive
"Alright, I think it`s time for bed...even though I`ll probably surf the net for another hour before I go to sleep lol! Goodnight",positive
 while you awake ?,neutral
" ooc: thanks! Ugh...what a bad, bad day I`ve had. **** .",negative
watching chelsea lately!  loveeeee her <3,positive
 Till then ..Ice Cream!,positive
" - I only get bubble tea during the cambodian new year - only once a year  & when i do, i stand in line for over 10-15 min.",neutral
_mills  better than a spider or some type if Australian wildlife one would imagine,neutral
 welcome home babe!,positive
oh and i forgot my cell at home  thankgod for this crackberry,negative
yard house too packed. Three people deep at bar.... went to pf changs....got right in,neutral
I need a blankie  this trains an icebox,negative
  I wish I had Left 4 Dead. But first I`d need something to play it on...,neutral
" That`s cause Ovie is the one man team and when they show Pens highlights, it`s the whole because we have more than 1 superstar",neutral
" awww ) where`d you get that? hugh is so thin. no traces of being wolverine yet. btw, who`s that other guy besides RDJ?",neutral
" ?. Pick up that, as fast you can!",neutral
" trivia? Working, no computer!",neutral
"_bmac I knooow, I want to sail",positive
"I need to go to ATL, mainly just to go to Ikea.  The stuff I want isn`t available online.",negative
Off to bed!! Still exhausted from Vegas,negative
 they used to have a Book Expo in Canada (Toronto) but the cancelled it this year  #BEAtwittyparty #BEAtwittyparty,neutral
i have a whole day planned for my mom today that i know she will love!,positive
_Thrifty eBay 10 mile rule not working for me.  Too many pairs of leather trousers being sold in Aberdeen. Will try next week.,negative
Trying to figure out this thing...it`s not going well,negative
 I GOT UR BACK @ BABY!! much love to ya!,positive
"Living down @ Alki without off-street parking BLOWS. 3:30p & there is no parking. Wkds are the worst, feel like a hostage.",negative
"Possible case of H1N1 at Ft. Knox (KY) http://tiny.cc/gNYq7. Note: this is for info purposes only, so there`s still no need to panic",neutral
I have to start eating healthy,positive
_sandman_ _wounds   I miss you guys SO much  ****,positive
I want more followers.,neutral
Oh and Cali plans are a GO! I might get to see DA too and she`s my hero and rocks my socks,positive
 he he! I will send it thru anurag,neutral
Finally i have finished my tec recipe card and i feel somewhat accomplished,positive
" Looks like you did the full Lincoln Marathon yesterday? That is awesome, the HM was tough for me",positive
_aloud  and that hindi flick `99` that came out a couple of weeks ago that never made it to the UK,neutral
" wow!  Nice roar, I see good things in your future",positive
"Yesterday I didn`t do much because I was just lazy, but today I don`t feel so good.",negative
  they certainly warmed mine,positive
http://twitpic.com/4j9fb - I really love this picture!,positive
 i was at the outlets too,neutral
 Last night was awesome! Thanks for all the hard work you put into it! Off to get some coffee now...,positive
STOMACH ACHE!!! Ahhhhhh,positive
life is so good. and it will much greater on Thursday at 5pm!,positive
 could be.,neutral
  god you guys...i`ll call you guys...three way. to discuss.,neutral
 I`ma need you to follow me real quick cause I can`t DM you,neutral
 well us Brits have to wait a few more days for it!  I thought it was all gonna realized at once! I guess it`s worth the wait!,positive
"@_refugee_ /me gets 'Your video will start in 15 seconds', Exiting to watch ... for minutes  #flash #linux #fail",negative
 Yahoo ! Great! Always nice to hear successful stories!,positive
Little brothers being funny  Congrats on the engagement http://tinyurl.com/cv5nw8,positive
 I do now LOL.,positive
'Mamma Who Bore Me' hat es mir echt angetan.  90210 lï¿½sst grï¿½ï¿½en. ^^,neutral
 omfg  whyyyyyy not that sucks!!! and r18?? wtf...  T.A.I. getcho` asses down here,negative
" aww  i hope u find it soon i miss it. i cnt even use my cam w/o it, memory`s full. plus i wanna take it 2 SA this commin weekend.",positive
" Shoot, Rob I missed it. Just got home.",negative
 http://twitpic.com/4jf4m - Very interesting head gear. lol.,positive
im going to miss khyy so much,negative
"I wanna go home, but I can`t cause the customers won`t leave... And my boss won`t let me leave either",negative
"I would do a #FollowFriday, but everyone on my list is already on everyone elses list so what`s the point?  I`m just not popular enough.",negative
arrg - i`ve been trying to upload my picture...darn thing won`t let me,negative
 tweettttt.,neutral
ummm. no it didnt work so i guess im stuck with this uglyonee,negative
Look at how far away I`ve gone... locked away in a room trying to work in silence and yet... constant 'urgent' emails and IM`s persist,negative
"_crazyangel Gah   But Gregg should have got the hot and talented vote, dammit!",positive
_2008 thanks  there`s a men`s version in June. It`s very popular.,positive
 Sorrry  I`m ready to leave.,negative
" right my fellow fluffy flasher! I must go to bed, sorry  I hope everything is working properly 2moro and we can chat! love u x",positive
 Absolutely! Just have a good backup for Romo for December.,positive
 were gonna go crazy before you leave,neutral
"after 4 years of trying, my cat today figured out how to open the under-the-sink cupboard.  time for a target run to buy safety locks",positive
 hey  how are you?  x,positive
"_Cullen26 yes, yes it is.",neutral
 Yeah they are! So stop making fun of me! I gotta get new ones,negative
 It would be amazing if we could meet us in Germany! I have been to Germany twice.,positive
Good morning Tweeple of the sun! What you all up to?,positive
"Home from gallery opening in Woodstock, NY. Frined had work on display.  Much great, cool and interesting art to be seen.",positive
"I have to pee (**** coffee)  sooo long until break time. 77 more letters...what to write, what to write..oh, used them all up.",negative
should be going nfg tonight,neutral
im so tired of my responsabilities i wish i was a kid it seems that everyone around me is all about money and not me anymore,negative
!  i called and called. I think you should answer more. haha,positive
_bbcrew dude im sleepy and went to bed as soon as i got home.  whhaacck.,negative
" lol nah no swine flu for me bro. lmao what`s ur schedule like this week, I need to catch up!",positive
*pokes and runs away* ... I WANT SUGAR !,neutral
Looks like the #GM Bankruptcy is going to happen. This loss will help offset the gains that I had earlier in the year tax wise. Oh well,negative
 Oh! Don`t you just love these Vodafone series of Ads ... The best picturisation ever,positive
Listening to the simply awesome Ratatat on a bank holiday monday before a BBQ later  http://bit.ly/gJqSh,positive
"Hell, my iTunes music library is even bipolar!",negative
"is having a profitable day!  Looking forward to Sunday...gonna be a great day -- sad, too, because it`s the 5th graders last day!",positive
"Had drums, but they where made up of other peoples sets, so, had to give them all back",neutral
 yupp t`s better than people being rude to her  x,positive
" My first thought too, I`ve never even watched Dragonball",neutral
" dude, I can safely say I was blown away when I heard Attics. I`ll make sure I pass it on as much as I can!",positive
" sooo, i saw RObs car drive by. but that was about it",neutral
_galore aaaw too bad .. i`m in a good mood to phone with someone  lol,positive
 heylo johnn (: im a huge fan. hope ur day is awesomee. cuzz im home sick and its kinda less than awesome.. anyways.. PEACE,positive
Starting to get annoyed with socialscope. Need an update,negative
 haha. Your a loser.  ily,negative
I`m making a logo on photoshop & it didn`t work out..  hehe.. try again lah..,negative
Cooking brown rice  http://bit.ly/gihac,neutral
`before you wake` - we sink ships photography exhibition is ONLINE http://tinyurl.com/dfs7fy please have a look,neutral
had 2 leave the mrs  cuz i have to go 2 work  really didn`t want to.,negative
 argh. Interested. Time maybe can`t go. Maybe.,neutral
as any1 been up all night like me and now the birds are keeping you awake,neutral
_Kay Morning! Hows your day. Hope you`re not another lying in the sun,neutral
 Goodmorning to you!Thank you so much for being so kind? The sun is out and I`m going to paint outside,positive
 http://twitpic.com/4fzo7 - you both have so beatiful eyes  i wanna have them,positive
Making an iMovie of college,neutral
PLEASE MAKE THE LIVECHAT ON SATURDAY CUS I HAVE TO GO TO SCHOOL ON WEEKDAYS(5/6 AM here)   ,neutral
just woke up,neutral
 how can I read the Floyd article says it`s private,neutral
"yesterday was fun.. 1st concert of the year [i know, i`m late xD].. buena vista social club live FOR FREE..",positive
" i think it`s fun, you gotta hide, and defend from your enemy, fun huh?",positive
"oh yes, happy star wars day.   May the fourth be with you...",positive
  I`d have read it but I`m not sure you would have wanted my opinion,neutral
Morning...tired should i excercise or jus relax need to catch up on sleep..Ladies would you like to see Shemar Moore @ Embassy? Hit me up,neutral
I`m so glad my concert is still a week away...I`m getting so sick and I need the time to recover!! My lungs hurt so bad right now,negative
Tryin to upload a new pic but this **** says its too big,negative
Will be flying to Ontario in 4 hours!Will probably stay awake.I will be there for a 8 days...Camping 4 the first time YAY!I am sleepy now,positive
6789998212 haha love soulja boys new song,positive
supposed to be great weather today & 2moro; just my luck Im stuck in work 1-10 both days!,positive
<--has no internet for the weekend,negative
 http://twitpic.com/4wrxq - whens your little gingg getting twitter ? from g + j,neutral
I`m going to open up PROVERBS and get as much wisdom as possible-I`m hungry!,positive
My sleeping beauties  I love my grads!! http://twitpic.com/4we5w,positive
 wow is a good idea... but the b-day was yesterday and I already took him a present! Thank you anyway!!!,positive
" thanks.  thing is so much of it is more design-art, which I hardly ever get a go at, therefore never get much better..",negative
**** wasting deodorant... i aint goin no where... i aint havin company  let me funk it to ya!,negative
If someone in the family died you would of heard about it. Duhhhhhh. . .,negative
 so where r u spinning now that the Hookah is R.I.P.?,neutral
3am i still cant sleep,negative
crappy music on the radio,negative
dude I have 2 more hours  and I`m all done with my work,neutral
 yo u can`t love 1 twin and not the other lol,negative
 and why can`t toy story come out this june,neutral
My breath is weezy.  No more going to knotts when you`ve been sick all week.,negative
 Just discovered your `Band from TV`... you guys are really good! Love the music,positive
 i miss you  !!!! ??,neutral
 i dont evn talk 2 him no more. it was a huge mistake. i shoulda listened 2 her. i kno she`s disappointed in me.,negative
Waaah! Masseuse is fully booked. No shoulder rub today.,positive
Venti Black Ice Tea with 8 pumps of classic,neutral
 lol yep  tell rhonda i said happy mother`s day!,positive
" I tried to translate your tweet using google translation service, but it just spat it out back out at me",negative
Happy Mothers Day to all the wonderful MOMS out there. MOMS are what makes the world stay balanced. Have a great Mothers Day,positive
i have to go to the doctor... i don`t want to... cause there i can wait sooo long...,negative
" what about Midge? She definitely has to be in on that tie for first. She`s completely dumb  and yeah, punk`d indeed",negative
Down again   seems like it never gonna stop and I`ll never get what i want,negative
Wonderful weekend  I love my family  & friends because they are awesome. Happy Mothers day to all the mommies <3,positive
 Britains got Talent just gets better every week,positive
 it was great to meet ya katie...awesome shows for sure!! Safe travels home.,positive
Out with the guys playing 10 pin & doing Mexican! Great combo! My bowling was not so good though  I blame it on my previous broken arm!!,positive
" Its because I put radio 4 on by mistake..I`ll have a cup of tea and a shower, then I`m sure all will fine and dandy, thanks",neutral
